"X","study.name","species","tag","id","id.tag","sex","age.at.deployment","captive.raised","rehabilitated","start.date","end.date","start.date.adjusted","end.date.adjusted","start.lat","start.long","end.lat","end.long","start.country","end.country","deployment.duration","fate","how.fate.determined","cause.of.death","comments"
79,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","180327","H73 Blue","H73 Blue_180327",NA,"577","Y","N","24-Dec-18","30-Mar-19",NA,NA,32.75222015,35.01353073,37.02671814,35.55789185,"Israel","Turkey",96,"Almost certainly dead","GPS on roads after a few days on the ground",NA,"Age units are days"
80,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","171081","H81 Green","H81 Green_171081",NA,"155","Y","N","25-Oct-17","27-Jun-19",NA,NA,32.753479,35.01400375,36.94632339,35.89520645,"Israel","Jordan",610,"Alive",NA,NA,"Age units are days"
81,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","180320","H92 Green","H92 Green_180320",NA,"223","Y","N","23-Dec-18","20-Mar-19",NA,NA,32.7522316,35.01348495,32.75214005,35.01336288,"Israel","Israel",87,NA,NA,NA,"Age units are days, transmitter fell, seen alive March 2019"
82,"Egyptian Vulture Reintroduction Israel","Neophron percnopterus","171085","H94 Blue","H94 Blue_171085",NA,"545","Y","N","13-Dec-17","18-May-19",NA,NA,32.75212479,35.01343918,36.4323082,33.87688446,"Israel","Turkey",521,"Dead","Found","Electrocuted","Age units are days"
83,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","132084","Haydi","Haydi_132084",NA,"3rd year","N","N","6/9/14 2:46","9/23/16 23:29",2014-06-09 08:00:00,NA,40.0813,43.6665,1.6518,37.8023,"Turkey","Kenya",837.8630093,NA,NA,NA,NA
84,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","130676","Heracles","Heracles_130676",NA,NA,NA,NA,"8/22/13 7:00","9/14/13 3:00",NA,NA,39.79217,21.55817,36.23,21.58833,"Greece",NA,22.83333333,NA,NA,NA,NA
85,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","131248","Ibrahim","Ibrahim_131248",NA,NA,NA,NA,"8/2/13 14:00","9/26/13 1:15",NA,NA,41.618,25.6495,35.161,24.811,"Bulgaria","Greece",54.46875,NA,NA,NA,NA
86,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia","Neophron percnopterus","118175","Igdir","Igdir_118175",NA,"ADULT (5+ years)","N","N","8/22/12 5:00","3/2/15 1:00",2012-08-23 05:00:00,NA,40.12167,43.5835,5.22433,42.18067,"Turkey","Ethiopia",921.8333333,"dead","bird / tag recovery","poisoning",NA
87,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","118145","Ikaros","Ikaros_118145",NA,NA,NA,NA,"8/12/12 19:00","9/14/12 8:00",NA,NA,39.80383,21.68783,33.55917,22.21517,"Greece",NA,32.54166667,NA,NA,NA,NA
88,"Neophron percnopterus Bulgaria/Greece","Neophron percnopterus","118153","Iliaz","Iliaz_118153",NA,NA,NA,NA,"8/30/12 6:00","5/31/19 6:00",NA,NA,41.44,25.56833,41.188,25.15467,"Bulgaria","Greece",2465,"alive",NA,NA,NA
