species,study.name,population,id,tag,id.tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,transmitter.mass.grams.binned,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage,comments
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Neli,200641,Neli_200641,8/6/20 11:13,10/9/20,10/10/20 0:00,41.61696,25.65046,36.37625,28.18186,Bulgaria,Mediterranean Sea,64.6662037,likely dead,2,,Y,Y,N,inferred from transmissions,drowned,Ornitela,legloop,30,30-40g,0.380299449,1.001075231,Bulgaria,NA,32,Y,2,4,juvenile,central & eastern,dead,fall migration,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Nikola-Spasimir,182267,Nikola-Spasimir_182267,8/2/19 6:49,9/7/19,9/8/19 0:00,41.64357,25.87223,38.04099,21.83073,Bulgaria,NA,35.86762731,likely dead,2,F,Y,Y,N,inferred from transmissions,Natural barrier,Ornitela,backpack,30,30-40g,1.014168028,1.002289352,Bulgaria,Greece,21,Y,1,3,juvenile,central & eastern,dead,fall migration,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Oriana,182256,Oriana_182256,8/2/19 12:11,10/30/20,10/31/20 0:00,41.62311,25.89028,13.78963,16.92137,Bulgaria,NA,454.7043056,alive,2,F,Y,Y,N,active,NA,Ornitela,backpack,30,30-40g,0.592215708,1.0008125,Bulgaria,Chad,442,Y,14,16,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Panteley,171360,Panteley_171360,5/16/18 0:28,10/30/20,10/31/20 0:00,41.59446,25.64143,15.99269,5.586378,Bulgaria,NA,898.1695602,alive,11,M,Y,Y,N,active,NA,Ornitela,backpack,30,30-40g,0.365447004,1.000855324,Bulgaria,Niger,898,Y,29,40,adult,central & eastern,alive,NA,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Polya,171356,Polya_171356,5/16/18 0:14,5/7/20,5/8/20 0:00,41.59454,25.64137,37.31413,30.38422,Bulgaria,Turkey,898.1585648,confirmed dead,11,F,Y,Y,N,carcass found,Electrocuted,Ornitela,backpack,30,30-40g,1.407380721,1.000891204,Bulgaria,Turkey,723,Y,23,34,adult,central & eastern,dead,spring migration,NA
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Romana,171345,Romana_171345,8/2/19 5:53,8/23/19,8/24/19 0:00,41.63573,25.85603,41.64749,25.87501,Bulgaria,Bulgaria,21.20766204,confirmed dead,2,F,Y,Y,N,carcass found,Collision with powerline,Ornitela,backpack,30,30-40g,0.001911149,1.53771412,Bulgaria,Bulgaria,15,Y,0,2,juvenile,central & eastern,dead,breeding,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Sava,200638,Sava_200638,8/6/20 7:14,10/29/20,10/31/20 0:00,41.47174,25.70244,13.25033,26.99307,Bulgaria,NA,84.04365741,alive,2,unknown,Y,N,N,active,NA,Ornitela,legloop,30,30-40g,1.117481654,1.00353588,Bulgaria,Sudan,85,N,2,4,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Sharka,182256,Sharka_182256,5/15/19 1:04,5/16/19,5/18/19 0:00,41.59423,25.64156,41.59809,25.62113,Bulgaria,Bulgaria,0.999247685,confirmed dead,2,F,Y,Y,N,carcass found,Killed by a predator,Ornitela,backpack,30,30-40g,0.011527727,0.983831019,Bulgaria,Bulgaria,2,Y,0,2,juvenile,central & eastern,dead,breeding,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Simeon,200639,Simeon_200639,8/7/20 14:14,10/28/20,10/31/20 0:00,41.47201,25.70263,14.68102,10.1171,Bulgaria,NA,81.8965625,alive,2,,Y,Y,N,active,NA,Ornitela,legloop,30,30-40g,0.148631762,1.002303241,Bulgaria,Niger,59,Y,2,4,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Sofia,171345,Sofia_171345,5/22/20 4:00,6/10/20,6/12/20 0:00,41.59438,25.64136,42.02726,26.63578,Bulgaria,Bulgaria,18.90826389,confirmed dead,23,F,Y,Y,N,carcass found,Electrocuted,Ornitela,legloop,30,30-40g,0.081647951,0.999525463,Bulgaria,Bulgaria,20,Y,0,23,adult,central & eastern,dead,breeding,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Solomon,200637,Solomon_200637,8/5/20 14:00,10/30/20,10/31/20 0:00,41.63543,25.73202,19.21164,41.30624,Bulgaria,NA,85.5171412,alive,2,unknown,Y,N,N,active,NA,Ornitela,legloop,30,30-40g,0.499982751,1.000201389,Bulgaria,Saudi Arabia,87,N,2,4,juvenile,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Zara,171348,Zara_171348,5/22/20 4:00,10/30/20,10/31/20 0:00,41.59436,25.64128,21.60761,40.23666,Bulgaria,NA,160.95,alive,23,F,Y,Y,N,active,NA,Ornitela,legloop,30,30-40g,1.138456448,0.99881372,Bulgaria,Saudi Arabia,162,Y,5,28,adult,central & eastern,alive,NA,
Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Zikmund,171349,Zikmund_171349,8/10/18 2:49,9/10/18,9/11/18 0:19,41.63609,25.85622,41.64567,25.87895,Bulgaria,Greece,30.88912037,confirmed dead,2,F,Y,Y,N,resighted / recaptured,human imprinting,Ornitela,backpack,30,30-40g,0.073481358,1.00071542,Bulgaria,Bulgaria,26,Y,1,3,juvenile,central & eastern,dead,fall migration,would have died due to too strong affinity to humans
