species,study.name,id,tag,id.tag,fate,how.fate.determined.clean,how.fate.determined,comments,sex,age.at.deployment,captive.raised,rehabilitated,n.locs,start.date,end.date,start.lat,start.long,end.lat,end.long,deployment.duration,cause.of.death,start.country,end.country,age.at.deployment.month,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,mean.battery.charge.percent.last10fixes
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Young Luro,84796,Young Luro_84796,alive,active,NA,transmitter failing?,unknown,ad,N,N,1583,3/6/09 15:57,5/6/19 16:04,-36.9007,-64.2368,-18.9419,-62.4799,3713.005475,NA,Argentina,Bolivia,54,2.067112876,4.75,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Fenix,136416,Fenix_136416,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,959,2/28/15 0:00,10/21/17 23:00,-41.12783,-71.24967,-41.14033,-71.24533,966.9583333,killed by a fox,Argentina,Argentina,54,0.032913896,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Simona,136415,Simona_136415,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,406,1/31/16 11:00,3/11/17 0:00,-41.143,-71.23967,-41.26617,-68.764,404.5416667,"likely poisoned, carcass found next to dead sheep along with another Turkey Vulture and two Chimango Caracaras",Argentina,Argentina,54,0.040067308,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Cinco,136415,Cinco_136415,confirmed dead,transmitter recovered,transmitter recovered,NA,F,ad,N,N,151,11/19/14 18:00,4/18/15 11:00,-41.18717,-71.14417,-26.34917,-63.75167,149.7083333,"potentially poisoned, found with 2 black vutlures and 2 chimango caracaras",Argentina,Argentina,54,0.448314666,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Mandeb,127590,Mandeb_127590,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,84,12/31/14 16:46,4/16/15 18:27,-41.1386,-71.3369,-40.2389,-70.0759,106.0701389,unknown,Argentina,Argentina,54,0.192135821,1.799375,NA
Neophron percnopterus,"Egyptian Vulture (Neophron percnopterus), Turkey, Armenia, Ethiopia ",Igdir,118175,Igdir_118175,confirmed dead,transmitter recovered,bird / tag recovery,NA,unknown,ad,N,N,874,8/22/12 5:00,3/1/15 1:00,40.12167,43.5835,4.2755,42.06417,920.8333333,poisoning,Turkey,Ethiopia,54,0.157333188,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Bariloche1,136416,Bariloche1_136416,confirmed dead,transmitter recovered,transmitter recovered,NA,F,ad,N,N,33,11/14/14 18:00,12/16/14 0:00,-41.18733,-71.14433,-42.16967,-70.65533,31.25,unknown,Argentina,Argentina,54,0.361381247,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Tesla,127590,Tesla_127590,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,320,5/13/13 19:14,4/4/14 1:31,40.6388,-76.0183,37.1723,-77.9549,325.261875,unknown,United States,United States,54,1.028750988,0.996793981,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Morongo,57957,Morongo_57957,confirmed dead,transmitter recovered,transmitter recovered,tagged on migration,unknown,ad,N,N,1132,3/18/06 23:00,5/26/09 2:00,34.0485,-116.5696667,43.43183,-123.31617,1164.125,collision with vehicle,United States,United States,54,0.000203556,1.608333333,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Sabado,84797,Sabado_84797,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,38,3/7/09 15:49,4/13/09 0:00,-36.897,-64.2325,-30.2602,-63.0536,36.34097222,unknown,Argentina,Argentina,54,0.663056984,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Duck Lake,57953,Duck Lake_57953,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,129,6/21/06 20:00,10/27/06 0:00,52.69516667,-106.1388333,49.7325,-100.3618333,127.1666667,collsion with powerline,Canada,Canada,54,0.111162942,1.054166667,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Blizzard,57953,Blizzard_57953,confirmed dead,transmitter recovered,transmitter recovered,NA,unknown,ad,N,N,107,6/22/05 16:00,10/6/05 0:00,53.03467,-106.375,48.031,-100.226,105.3333333,collision with vehicle,Canada,United States,54,0.81435434,1,NA
Cathartes aura,Vulture Movements,ELV_TV,121787,ELV_TV_121787,confirmed dead,terminated over water,last location at water surface off FL Keys,"likely a condition known as ""fall out"", trying to head somewhere over water and becoming exhausted by head winds and dropping to water between Barracouta and Marquesas Keys",unknown,ad,N,N,91,1/31/13 15:00,5/1/13 0:00,24.573,-81.67367,24.52483,-82.02133,89.375,unknown,United States,NA,54,0.119572856,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Edward Abbey,127774,Edward Abbey_127774,likely dead,static transmission,transmission from same location over 3 days before ceasing,NA,F,ad,N,N,1982,5/26/13 17:00,11/10/18 0:00,32.873,-112.057,13.25933,-88.26117,1993.291667,unknown,United States,El Salvador,54,0.035425395,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Airy,163484,Airy_163484,likely dead,static transmission,transmisson from same location over a period of time,NA,unknown,ad,N,N,57,6/6/18 2:00,8/5/18 0:00,47.00317,-124.143,47.34883,-124.28433,59.91666667,unknown,United States,United States,54,0.086294888,0.995833333,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,MooMoo,157419,MooMoo_157419,likely dead,static transmission,transmission from same location over several months before ceasing,NA,M,ad,N,N,617,5/18/16 18:00,3/7/18 12:00,33.428,-112.69567,9.374,-75.76617,657.75,unknown,United States,NA,54,0.004065896,4.8,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Desert_Rat,127772,Desert_Rat_127772,likely dead,static transmission,transmission from same location over 3 days before ceasing,NA,F,ad,N,N,1262,5/24/13 13:00,11/15/16 0:00,32.88683,-112.03733,14.82033,-92.22867,1270.458333,unknown,United States,Mexico,54,0.00949591,1,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Boneyard1,135427,Boneyard1_135427,likely dead,static transmission,transmission from same location over 1 month period,NA,F,ad,N,N,633,5/14/14 0:00,4/4/16 4:00,33.389,-112.68267,17.44583,-98.85983,691.1666667,unknown,United States,Mexico,54,0.005414974,2.716666667,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Jennie,127776,Jennie_127776,likely dead,static transmission,transmission from same location over 3 months before ceasing,NA,F,ad,N,N,773,5/24/13 19:00,12/7/15 21:00,32.88617,-112.03617,32.77333,-112.56283,927.0833333,unknown,United States,United States,54,0.00017774,6.5875,NA
Cathartes aura,Turkey Vulture Acopian Center USA GPS,Harriet,127780,Harriet_127780,likely dead,static transmission,"transmission from same location over 5 days before ceasing, last location was on island on migration",NA,M,ad,N,N,659,6/5/13 1:00,4/3/15 0:00,53.00733,-106.30933,13.17233,-87.68467,666.9583333,unknown,Canada,NA,54,1.41959279,1.204166667,NA
