id.tag.year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Igdir_118175_2014,1,1,2,1,1,1,1,1,1,2,1,1
Igdir_118175_2015,1,1,1,0,0,0,0,0,0,0,0,0
IH0 Red_190613_2019,0,0,0,0,0,0,0,0,0,0,0,1
IH0 Red_190613_2020,1,1,1,1,1,1,1,2,2,1,0,0
IH1 Red_190615_2019,0,0,0,0,0,0,0,0,0,0,0,1
IH1 Red_190615_2020,1,1,0,0,0,0,0,0,0,0,0,0
IH3 Red_190610_2019,0,0,0,0,0,0,0,0,0,0,0,1
IH3 Red_190610_2020,1,1,1,1,1,1,0,2,2,1,0,0
IH4 Red_190614_2019,0,0,0,0,0,0,0,0,0,0,0,1
IH4 Red_190614_2020,1,1,1,1,1,1,1,1,2,0,0,0
IH7 Red_190612_2019,0,0,0,0,0,0,0,0,0,0,0,1
IH7 Red_190612_2020,1,1,1,1,1,1,1,1,1,2,0,0
IH9 Red_190611_2019,0,0,0,0,0,0,0,0,0,0,0,1
IH9 Red_190611_2020,1,1,1,1,1,1,1,1,2,0,0,0
Ikaros_118145_2012,0,0,0,0,0,0,0,2,2,0,0,0
Iliaz_118153_2012,0,0,0,0,0,0,0,1,2,2,1,1
Iliaz_118153_2013,1,1,1,1,1,1,1,1,1,1,1,1
Iliaz_118153_2014,1,1,1,1,1,1,1,1,1,1,1,1
Iliaz_118153_2015,1,1,1,2,2,2,1,1,1,1,1,1
Iliaz_118153_2016,1,1,2,2,1,1,1,2,2,1,1,1
Iliaz_118153_2017,1,1,2,2,1,1,1,1,2,1,1,1
Iliaz_118153_2018,1,1,2,2,1,1,1,2,2,1,1,1
Iliaz_118153_2019,1,1,2,2,1,1,1,1,2,1,1,1
Iliaz_118153_2020,1,1,2,2,1,1,1,2,2,1,0,0
Ilin_130675_2013,0,0,0,0,0,0,0,1,1,1,0,0
Ilina_130674_2013,0,0,0,0,0,0,0,1,2,2,0,0
Iste_132086_2014,0,0,0,0,0,1,1,1,2,2,1,1
Iste_132086_2015,1,1,1,2,1,1,1,1,2,1,1,1
Iste_132086_2016,1,1,2,2,1,1,1,1,2,2,1,1
Iste_132086_2017,1,1,2,1,1,1,1,1,2,2,1,1
Iste_132086_2018,1,1,2,1,1,1,1,1,2,1,1,1
Iste_132086_2019,1,1,2,2,1,1,1,1,2,2,1,1
Iste_132086_2020,1,1,2,2,1,1,0,0,0,0,0,0
Izi_171354_2020,0,0,0,0,1,1,1,2,2,2,0,0
Jane_190556_2019,0,0,0,0,0,0,1,1,1,2,1,1
Jane_190556_2020,1,2,1,1,1,1,1,1,1,1,0,0
Jenny_149507_2015,0,0,0,0,0,0,1,1,2,1,1,1
Jenny_149507_2016,1,1,2,2,1,1,1,2,2,1,1,1
Jenny_149507_2017,1,1,2,2,1,1,1,1,2,1,1,1
Jenny_149507_2018,1,1,2,1,1,1,1,1,2,1,1,1
Jenny_149507_2019,1,1,2,2,1,1,1,1,2,2,1,1
Jenny_149507_2020,1,1,2,2,1,1,1,1,1,2,0,0
JuvSendim_16094_2019,0,0,0,0,0,0,0,1,1,0,0,0
Kapchug_115_2017,0,0,0,0,0,0,1,1,2,0,0,0
Karbolet_L I22 Red_200651_2020,0,0,0,0,0,0,1,2,0,0,0,0
Karbolet_S I21 Red_200650_2020,0,0,0,0,0,0,1,1,2,2,0,0
Karel_119158_2015,0,0,0,0,0,0,0,0,1,2,0,0
Kate_190557_2019,0,0,0,0,0,0,1,1,2,1,1,1
Katerina_130671_2013,0,0,0,0,0,0,0,1,2,1,1,1
Katerina_130671_2014,0,0,0,0,1,1,1,1,0,0,0,0
La Rioja 01-Brieva-4404_4404_2016,0,0,0,0,0,0,1,1,2,2,1,1
La Rioja 01-Brieva-4404_4404_2017,1,1,1,1,0,0,0,0,0,0,0,0
La Rioja 02-Quel-4405_4405_2016,0,0,0,0,0,0,1,1,2,0,0,0
La Rioja 02-Quel-4405_4405_2017,0,1,1,1,1,1,1,1,1,1,0,0
La Rioja 03 - Lidia -REKI38_48797732417_2018,0,0,0,0,0,0,1,1,2,2,2,1
La Rioja 03 - Lidia -REKI38_48797732417_2019,1,1,1,1,1,1,1,1,1,1,1,1
La Rioja 03 - Lidia -REKI38_48797732417_2020,1,0,0,0,0,0,0,0,0,0,0,0
Langullo-9FC_5782_2017,0,0,0,0,0,0,1,1,2,0,0,0
Larouco-2HP_48500703772_2016,0,0,0,0,0,0,1,2,2,2,0,0
Larouco-2HP_48500703772_2018,0,0,0,2,1,1,1,2,0,0,0,0
Larouco-2HP_48500703772_2019,1,0,0,2,1,1,1,1,0,0,0,0
Lazaros_108050_2012,0,0,0,0,0,1,1,1,2,1,1,1
Lazaros_108050_2013,1,1,2,0,0,0,0,0,0,0,0,0
Lenka_171345_2019,0,0,0,0,0,0,0,1,2,1,1,0
Leonardo_B15AF11F_2019,0,0,0,0,0,0,0,1,2,0,0,0
Levkipos_118146_2012,0,0,0,0,0,0,0,1,2,2,1,1
Levkipos_118146_2013,1,1,1,1,1,1,1,1,1,1,1,1
Levkipos_118146_2014,1,1,1,1,1,1,1,1,1,1,1,1
Levkipos_118146_2015,1,1,1,1,1,1,0,0,0,0,0,0
Logiya_118174_2013,0,0,0,0,0,0,0,0,0,0,0,1
Logiya_118174_2014,1,1,1,1,2,2,1,2,2,1,1,1
Logiya_118174_2015,1,1,1,2,1,1,1,1,2,1,1,1
Logiya_118174_2016,1,1,1,2,2,1,1,1,2,1,1,1
Logiya_118174_2017,1,1,1,2,1,1,1,1,2,1,1,1
Logiya_118174_2018,1,1,2,2,1,1,1,1,2,1,1,1
Logiya_118174_2019,1,1,2,1,1,1,1,1,2,1,1,1
Logiya_118174_2020,1,1,2,2,1,1,1,1,2,1,0,0
Loma_182260_2019,0,0,0,0,0,0,0,0,0,0,0,1
Loma_182260_2020,1,1,2,2,0,0,0,0,0,0,0,0
Lomets_118149_2016,0,0,0,0,0,0,0,1,2,0,0,0
Lucky_193632_2020,0,0,0,0,0,1,1,2,2,1,0,0
Lucrezia_B05AF11F_2019,0,0,0,0,0,0,0,1,1,2,1,1
Lucrezia_B05AF11F_2020,1,1,1,1,2,1,0,0,0,0,0,0
Macedonia_61952_2011,0,0,0,0,0,0,0,1,2,0,0,0
Malysh_116_2017,0,0,0,0,0,0,1,1,2,2,0,0
Manzaneda-95P_6471_2018,0,0,0,0,0,0,0,1,1,2,1,1
Manzaneda-95P_6471_2019,1,1,1,1,1,1,1,1,1,1,1,1
Maok I37 Red_200647_2020,0,0,0,0,0,0,1,1,2,0,0,0
Maria_149504_2016,0,0,0,0,0,0,0,1,2,2,0,0
Masada I32 Red_200642_2020,0,0,0,0,0,1,1,2,2,1,0,0
Mata-181686_181686_2019,0,0,0,0,0,0,1,1,2,1,1,1
Mata-181686_181686_2020,1,0,0,0,0,0,0,0,0,0,0,0
Molina 80419_80419_2008,0,0,0,0,0,0,0,1,2,1,1,1
Molina 80419_80419_2009,1,2,2,1,1,1,1,1,2,1,1,1
Molina 80419_80419_2010,1,2,1,1,1,1,1,1,2,1,1,1
Molina 80419_80419_2011,1,2,2,1,0,0,0,0,0,0,0,0
Montejo-95N_181641_2018,0,0,0,0,0,0,0,1,2,1,1,1
Montejo-95N_181641_2019,1,1,2,1,1,1,1,1,2,1,1,1
Montejo-95N_181641_2020,1,1,2,1,1,1,1,1,2,1,0,0
Neli_200641_2020,0,0,0,0,0,0,0,0,2,2,0,0
Nikola-Spasimir_182267_2019,0,0,0,0,0,0,0,1,2,0,0,0
Noe_AC5AF11F_2019,0,0,0,0,0,0,0,1,2,2,0,0
Odiseas_118149_2012,0,0,0,0,0,0,0,0,1,0,0,0
Orada_48500703778_2015,0,0,0,0,0,0,1,1,2,1,1,1
Orada_48500703778_2016,1,1,1,1,2,1,1,1,2,1,1,1
Orada_48500703778_2017,1,1,0,0,0,0,0,0,0,0,0,0
Oriana_182256_2019,0,0,0,0,0,0,0,1,2,2,1,1
Oriana_182256_2020,1,1,1,1,1,1,1,1,1,1,0,0
Ossau_2018_Ad_wild_OR17996_PC0_17996_2018,0,0,0,1,1,1,1,1,2,1,1,1
Ossau_2018_Ad_wild_OR17996_PC0_17996_2019,1,2,2,1,1,1,1,1,2,0,0,0
Panteley_171360_2018,0,0,0,0,1,1,1,1,2,2,2,1
Panteley_171360_2019,1,1,1,1,2,2,1,1,2,2,1,1
